Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Timestamp_Scraped
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,EXEC. DD,"R$169,99",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CONV. DD,"R$165,86",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CONV. DD - VAI DIRETO,"R$120,64",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA - VAI DIRETO,"R$218,20",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CONV. DD,"R$165,86",,2025-07-24 19:45:51
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$218,99",,2025-07-24 19:45:51
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,CONVENCIONAL,"R$299,02",,2025-07-24 19:46:25
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,CAMA,"R$468,68",,2025-07-24 19:46:26
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,SEMILEITO PREMIUM,"R$308,98",,2025-07-24 19:46:26
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,EXECUTIVO,"R$299,02",,2025-07-24 19:46:26
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,CAMA,R$,,2025-07-24 19:46:26
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,SEMILEITO PREMIUM,"R$308,98",,2025-07-24 19:46:26
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,CAMA,"R$468,68",,2025-07-24 19:46:26
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,SEMILEITO PREMIUM,"R$308,98",,2025-07-24 19:46:26
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,SEMILEITO PREMIUM,"R$243,85",,2025-07-24 19:46:33
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,CAMA,"R$418,68",,2025-07-24 19:46:33
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,CONVENCIONAL,"R$233,90",,2025-07-24 19:46:33
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,CAMA,"R$508,68",,2025-07-24 19:46:33
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,SEMILEITO PREMIUM,"R$243,85",,2025-07-24 19:46:33
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,EXECUTIVO,"R$233,90",,2025-07-24 19:46:33
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,EXECUTIVO,"R$233,90",,2025-07-24 19:46:33
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,SEMILEITO PREMIUM,"R$243,85",,2025-07-24 19:46:33
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,CAMA,"R$378,68",,2025-07-24 19:46:33
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,EXECUTIVO,"R$233,90",,2025-07-24 19:46:33
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,CAMA,"R$508,68",,2025-07-24 19:46:33
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,SEMILEITO PREMIUM,"R$243,85",,2025-07-24 19:46:33
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,CAMA,"R$528,68",,2025-07-24 19:46:33
