Origem,Destino,Data,Tipo de assento,Preco,Mensagem_rota_indisp,Distance,Duration,Timestamp_Scraped
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:15
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$218,99",,314 km,05:06,2025-07-24 19:49:16
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,EXEC. DD,"R$169,99",,314 km,05:06,2025-07-24 19:49:16
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:16
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,"R$218,99",,314 km,05:06,2025-07-24 19:49:16
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,EXEC. DD,"R$169,99",,314 km,05:06,2025-07-24 19:49:17
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:17
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,EXEC. DD,"R$169,99",,314 km,05:06,2025-07-24 19:49:17
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CONV. DD,"R$165,86",,314 km,05:06,2025-07-24 19:49:17
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:18
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA - VAI DIRETO,R$,,314 km,05:06,2025-07-24 19:49:18
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,EXEC. DD - VAI DIRETO,"R$151,94",,314 km,05:06,2025-07-24 19:49:18
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:18
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,EXEC. DD,"R$169,99",,314 km,05:06,2025-07-24 19:49:18
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),25/07/2025,CAMA,R$,,314 km,05:06,2025-07-24 19:49:19
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:19
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,R$,,314 km,05:06,2025-07-24 19:49:19
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,EXEC. DD,"R$169,99",,314 km,05:06,2025-07-24 19:49:19
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:19
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:20
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$218,99",,314 km,05:06,2025-07-24 19:49:20
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CONV. DD,"R$165,86",,314 km,05:06,2025-07-24 19:49:20
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:21
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$218,99",,314 km,05:06,2025-07-24 19:49:21
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CONV. DD,"R$165,86",,314 km,05:06,2025-07-24 19:49:21
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:21
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CONV. DD,"R$165,86",,314 km,05:06,2025-07-24 19:49:22
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$218,99",,314 km,05:06,2025-07-24 19:49:22
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:22
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,EXEC. DD,"R$169,99",,314 km,05:06,2025-07-24 19:49:22
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CONV. DD,"R$165,86",,314 km,05:06,2025-07-24 19:49:22
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:22
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CONV. DD - VAI DIRETO,"R$120,64",,314 km,05:06,2025-07-24 19:49:23
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA - VAI DIRETO,"R$218,20",,314 km,05:06,2025-07-24 19:49:23
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,Convencional,"R$122,55",,314 km,05:06,2025-07-24 19:49:23
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CONV. DD,"R$165,86",,314 km,05:06,2025-07-24 19:49:23
Ribeirão Preto (SP),São Paulo (Rod. Tietê) (SP),26/07/2025,CAMA,"R$218,99",,314 km,05:06,2025-07-24 19:49:23
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,CONVENCIONAL,"R$299,02",,448 km,08:20,2025-07-24 19:49:24
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,CAMA,"R$468,68",,448 km,08:20,2025-07-24 19:49:24
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,SEMILEITO PREMIUM,"R$308,98",,448 km,08:20,2025-07-24 19:49:24
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,EXECUTIVO,"R$299,02",,448 km,08:20,2025-07-24 19:49:25
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,CAMA,R$,,448 km,08:20,2025-07-24 19:49:25
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,SEMILEITO PREMIUM,"R$308,98",,448 km,08:20,2025-07-24 19:49:25
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,CAMA,"R$468,68",,448 km,08:20,2025-07-24 19:49:25
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),24/07/2025,SEMILEITO PREMIUM,"R$308,98",,448 km,08:20,2025-07-24 19:49:26
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,SEMILEITO PREMIUM,"R$243,85",,448 km,08:20,2025-07-24 19:49:26
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,CAMA,"R$418,68",,448 km,08:20,2025-07-24 19:49:26
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,CONVENCIONAL,"R$233,90",,448 km,08:20,2025-07-24 19:49:27
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,CAMA,"R$508,68",,448 km,08:20,2025-07-24 19:49:27
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,SEMILEITO PREMIUM,"R$243,85",,448 km,08:20,2025-07-24 19:49:27
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,EXECUTIVO,"R$233,90",,448 km,08:20,2025-07-24 19:49:27
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,EXECUTIVO,"R$233,90",,448 km,08:20,2025-07-24 19:49:28
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,SEMILEITO PREMIUM,"R$243,85",,448 km,08:20,2025-07-24 19:49:28
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,CAMA,"R$378,68",,448 km,08:20,2025-07-24 19:49:28
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,EXECUTIVO,"R$233,90",,448 km,08:20,2025-07-24 19:49:28
Rio de Janeiro (Novo Rio) (RJ),Belo Horizonte - Terminal Rodoviário (MG),25/07/2025,CAMA,"R$508,68",,448 km,08:20,2025-07-24 19:49:29
